,sentiment
243,-0.4019
244,-0.34
245,-0.5994
246,0.0
247,0.3182
248,-0.875
249,0.0
250,0.4767
251,0.34
252,0.3182
253,0.0
254,0.0
255,-0.25
256,0.5905
257,0.0688
258,0.3202
259,0.7269
260,-0.4404
261,0.0
262,0.0516
263,0.0
264,0.0
265,0.0
266,-0.1779
267,0.4767
268,0.2023
269,0.7559
270,0.0
271,-0.6597
272,0.0
273,0.4404
274,0.0
275,-0.7531
276,-0.3786
277,0.0
278,0.4767
279,0.296
280,-0.296
281,0.5267
282,-0.6486
283,-0.6808
284,0.0
285,0.7269
286,-0.296
287,0.296
288,-0.34
289,0.4767
290,-0.5994
291,0.4767
292,0.0516
293,0.0
294,-0.4451
295,-0.1027
296,-0.8543
297,0.0516
298,-0.1027
299,-0.1531
300,0.0
301,0.0
302,-0.5499
303,0.0
304,-0.2023
305,0.0
306,0.0
307,0.0431
308,-0.6395
309,0.0
310,0.0
311,-0.902
312,0.0
313,-0.3182
314,-0.5106
315,0.0
316,0.0
317,-0.4215
318,0.0
319,-0.836
320,0.0
321,0.0
322,-0.0772
323,0.0
324,0.3612
325,-0.7003
326,-0.4215
327,0.0
328,-0.34
329,0.0
330,0.0
331,-0.4404
332,0.6124
333,0.0
334,0.4767
335,-0.4215
336,0.0
337,0.0
338,0.0
339,-0.5994
340,-0.8625
341,-0.6486
342,-0.5106
343,-0.6597
344,0.0
345,0.802
346,-0.8225
347,0.0
348,0.0
349,0.4939
350,0.6739
351,0.0
352,0.0
353,-0.1068
354,0.0
355,-0.3336
356,0.3818
357,-0.6486
358,-0.5267
359,0.0
360,0.296
361,0.0
362,0.0
363,0.4714
364,0.5574
365,0.0
366,0.4767
367,-0.6841
368,0.0
369,0.0
370,0.0
371,-0.5859
372,-0.2263
373,-0.5267
374,-0.8625
375,0.0
376,-0.5157
377,0.4215
378,-0.5719
379,0.4019
380,0.4926
381,0.7579
382,-0.6597
383,0.5209
384,-0.7777
385,-0.1027
386,0.3182
387,-0.296
388,-0.5255
389,0.0
390,-0.5023
391,0.0
392,0.25
393,0.0
394,-0.5577
395,-0.7783
396,0.1027
397,-0.4588
398,0.0
399,-0.3612
400,0.0
401,0.5574
402,0.0
403,-0.836
404,-0.296
405,0.0
406,-0.7096
407,0.0
408,0.0
409,0.0516
410,0.0
411,0.5255
412,0.2023
413,0.0
414,0.0
415,0.0
416,0.0
417,-0.2638
418,0.0
419,-0.4767
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,-0.2263
427,0.4767
428,0.3182
429,0.0
430,-0.7269
431,0.0
432,0.0
433,-0.4404
434,0.7003
435,0.0
436,0.7579
437,-0.6486
438,0.4767
439,-0.7096
440,0.0
441,0.0
442,0.0
443,0.0
444,-0.3291
445,0.802
446,-0.3612
447,0.0
448,0.4767
449,0.2023
450,-0.6003
451,0.0
452,0.3182
453,0.0
454,0.0
455,0.0
456,-0.4939
457,0.0
458,-0.5859
459,-0.7783
460,-0.6113
461,0.1531
462,0.6597
463,0.0
464,0.0
465,0.5423
466,0.0516
467,0.0772
468,0.0
469,0.2732
