,Location,Latitude,Longitude,Metric
1170,Greece,38.9953683,21.9877132,1
1171,Japan,36.5748441,139.2394179,3
1172,England,52.5310214,-1.2649062,118
1173,Athens,37.9839412,23.7283052,1
1174,Kenya,1.4419683,38.4313975,7
1175,Kenya,1.4419683,38.4313975,7
1176,America,37.09024,-95.712891,628
1177,America,37.09024,-95.712891,628
1178,Mexico,22.5000485,-100.0000375,7
1179,Ireland,52.865196,-7.9794599,7
1180,America,37.09024,-95.712891,628
1181,England,52.5310214,-1.2649062,118
1182,America,37.09024,-95.712891,628
1183,China,35.000074,104.999927,1
1184,America,37.09024,-95.712891,628
1185,United Arab Emirates,24.0002488,53.9994829,2
1186,France,46.603354,1.8883335,45
1187,America,37.09024,-95.712891,628
1188,Argentina,-34.9964963,-64.9672817,22
1189,United Kingdom,54.7023545,-3.2765753,62
1190,Columbia,2.8894434,-73.783892,11
1191,Canada,61.0666922,-107.9917071,70
1192,Canada,61.0666922,-107.9917071,70
1193,America,37.09024,-95.712891,628
1194,America,37.09024,-95.712891,628
1195,America,37.09024,-95.712891,628
1196,America,37.09024,-95.712891,628
1197,America,37.09024,-95.712891,628
1198,Scotland,56.7861112,-4.1140518,24
1199,America,37.09024,-95.712891,628
1200,Holland,52.5001698,5.7480821,12
1201,America,37.09024,-95.712891,628
1202,Waterloo,42.4979693,-92.3329637,2
1203,America,37.09024,-95.712891,628
1204,America,37.09024,-95.712891,628
1205,America,37.09024,-95.712891,628
1206,America,37.09024,-95.712891,628
1207,America,37.09024,-95.712891,628
1208,America,37.09024,-95.712891,628
1209,Worthing,50.8116902,-0.3703948,1
1210,United Kingdom,54.7023545,-3.2765753,62
1211,England,52.5310214,-1.2649062,118
1212,Brasil,-10.3333333,-53.2,32
1213,Brasil,-10.3333333,-53.2,32
1214,Hampshire,51.04483545,-1.2434093603442158,1
1215,America,37.09024,-95.712891,628
1216,England,52.5310214,-1.2649062,118
1217,Canada,61.0666922,-107.9917071,70
1218,United Kingdom,54.7023545,-3.2765753,62
1219,Columbia,2.8894434,-73.783892,11
1220,America,37.09024,-95.712891,628
1221,America,37.09024,-95.712891,628
1222,America,37.09024,-95.712891,628
1223,America,37.09024,-95.712891,628
1224,America,37.09024,-95.712891,628
1225,Hartford,41.7655582,-72.69061276146614,1
1226,Chesapeake,36.7183708,-76.2466798,1
1227,America,37.09024,-95.712891,628
1228,Subang,3.150486,101.531154,1
1229,Hobart,-42.8825088,147.3281233,1
1230,Boca,45.678969,8.408726,1
1231,Raton,36.9033719,-104.4393587,1
1232,FL,27.7567667,-81.4639835,2
1233,England,52.5310214,-1.2649062,118
1234,United Kingdom,54.7023545,-3.2765753,62
1235,France,46.603354,1.8883335,45
1236,France,46.603354,1.8883335,45
1237,France,46.603354,1.8883335,45
1238,England,52.5310214,-1.2649062,118
1239,England,52.5310214,-1.2649062,118
1240,America,37.09024,-95.712891,628
1241,Dublin,53.3497645,-6.2602732,3
1242,Ireland,52.865196,-7.9794599,7
1243,America,37.09024,-95.712891,628
1244,America,37.09024,-95.712891,628
1245,America,37.09024,-95.712891,628
1246,Nigeria,9.6000359,7.9999721,37
1247,Amherst,42.3685658,-72.505714,1
1248,France,46.603354,1.8883335,45
1249,Oxford,39.7852062,-75.9790215,1
1250,United Kingdom,54.7023545,-3.2765753,62
1251,Alagoas,-9.6611661,-36.6502426,1
1252,Brasil,-10.3333333,-53.2,32
1253,America,37.09024,-95.712891,628
1254,Middletown,41.54961415,-72.65157756750801,1
1255,America,37.09024,-95.712891,628
1256,Thailand,14.8971921,100.83273,3
1257,Omaha,41.2587459,-95.9383758,1
1258,England,52.5310214,-1.2649062,118
1259,Germany,51.0834196,10.4234469,12
1260,ADOS,40.2814684,-8.4542064,1
1261,America,37.09024,-95.712891,628
1262,Halifax,44.648618,-63.5859487,1
1263,Scotland,56.7861112,-4.1140518,24
1264,Canada,61.0666922,-107.9917071,70
1265,Carmel,39.9788017,-86.1189257,1
1266,America,37.09024,-95.712891,628
1267,America,37.09024,-95.712891,628
1268,America,37.09024,-95.712891,628
1269,Toledo,39.8560679,-4.0239568,1
1270,Mancha,49.091895199999996,-1.2454370607545526,1
1271,Ghana,8.0300284,-1.0800271,4
1272,Dublin,53.3497645,-6.2602732,3
1273,Ireland,52.865196,-7.9794599,7
1274,America,37.09024,-95.712891,628
1275,Burnsville,44.7677424,-93.2777226,1
1276,America,37.09024,-95.712891,628
1277,America,37.09024,-95.712891,628
1278,America,37.09024,-95.712891,628
1279,America,37.09024,-95.712891,628
1280,Georgia,32.3293809,-83.1137366,7
1281,America,37.09024,-95.712891,628
1282,Canada,61.0666922,-107.9917071,70
1283,America,37.09024,-95.712891,628
1284,America,37.09024,-95.712891,628
1285,Sacramento,38.5810606,-121.4938951,1
1286,Baltimore,39.2908816,-76.610759,1
1287,America,37.09024,-95.712891,628
1288,Canada,61.0666922,-107.9917071,70
1289,Watford,51.6553875,-0.3957425,1
1290,England,52.5310214,-1.2649062,118
1291,America,37.09024,-95.712891,628
1292,Denver,39.7392364,-104.9848623,1
1293,Canada,61.0666922,-107.9917071,70
1294,Nigeria,9.6000359,7.9999721,37
1295,Jaipur,26.9154576,75.8189817,1
1296,India,22.3511148,78.6677428,66
1297,Recife,-8.0584933,-34.8848193,1
1298,Pernambuco,-8.4116316,-37.5919699,1
1299,Philly,39.88771115,-75.19078391488154,1
1300,Honolulu,21.304547,-157.8556764,1
1301,America,37.09024,-95.712891,628
1302,Turkey,38.9597594,34.9249653,6
1303,Cincinnati,39.1014537,-84.5124602,1
1304,America,37.09024,-95.712891,628
1305,America,37.09024,-95.712891,628
1306,Cleveland,41.5051613,-81.6934446,1
1307,Sturbridge,42.0955914,-72.0820025,1
1308,MA,41.8933203,12.4829321,1
1309,Canada,61.0666922,-107.9917071,70
1310,America,37.09024,-95.712891,628
1311,America,37.09024,-95.712891,628
1312,America,37.09024,-95.712891,628
1313,America,37.09024,-95.712891,628
1314,Orlando,28.5421109,-81.3790304,1
1315,Spokane,47.6571934,-117.4235106,1
1316,Salta,-25.1076701,-64.3494964,1
1317,Argentina,-34.9964963,-64.9672817,22
1318,France,46.603354,1.8883335,45
1319,France,46.603354,1.8883335,45
1320,Venezuela,8.0018709,-66.1109318,16
1321,America,37.09024,-95.712891,628
1322,Andhra,15.9240905,80.1863809,1
1323,Pradesh,27.1303344,80.859666,1
1324,India,22.3511148,78.6677428,66
1325,America,37.09024,-95.712891,628
1326,Nigeria,9.6000359,7.9999721,37
1327,America,37.09024,-95.712891,628
1328,Embu,-23.6495294,-46.8528497,1
1329,Brasil,-10.3333333,-53.2,32
1330,Germany,51.0834196,10.4234469,12
1331,Mexico,22.5000485,-100.0000375,7
1332,Park,30.3308401,71.247499,1
1333,View,32.3434532,-99.8860216,1
1334,America,37.09024,-95.712891,628
1335,Venezuela,8.0018709,-66.1109318,16
1336,America,37.09024,-95.712891,628
1337,Ankara,39.9207486,32.8540093,1
1338,Columbia,2.8894434,-73.783892,11
1339,Bristol,51.4538022,-2.5972985,1
1340,England,52.5310214,-1.2649062,118
1341,America,37.09024,-95.712891,628
1342,America,37.09024,-95.712891,628
1343,United Kingdom,54.7023545,-3.2765753,62
1344,Canada,61.0666922,-107.9917071,70
1345,FL,27.7567667,-81.4639835,2
1346,America,37.09024,-95.712891,628
1347,Brescia,45.77958045,10.4258729694612,1
1348,Lombardia,45.5703694,9.7732524,1
1349,America,37.09024,-95.712891,628
1350,America,37.09024,-95.712891,628
1351,Scotland,56.7861112,-4.1140518,24
1352,America,37.09024,-95.712891,628
1353,America,37.09024,-95.712891,628
1354,England,52.5310214,-1.2649062,118
1355,Scotland,56.7861112,-4.1140518,24
1356,Brasil,-10.3333333,-53.2,32
1357,Brasil,-10.3333333,-53.2,32
1358,Karachi,24.8667795,67.0311286,1
1359,Pakistan,30.3308401,71.247499,2
1360,Venezuela,8.0018709,-66.1109318,16
1361,America,37.09024,-95.712891,628
1362,America,37.09024,-95.712891,628
1363,America,37.09024,-95.712891,628
1364,America,37.09024,-95.712891,628
1365,America,37.09024,-95.712891,628
1366,England,52.5310214,-1.2649062,118
1367,Canada,61.0666922,-107.9917071,70
1368,America,37.09024,-95.712891,628
1369,India,22.3511148,78.6677428,66
1370,India,22.3511148,78.6677428,66
1371,America,37.09024,-95.712891,628
1372,America,37.09024,-95.712891,628
1373,America,37.09024,-95.712891,628
